id,source,job_title,name,summary,skills,experience,education,full_text
resume_1,resume.com,Software Engineer,Unspecified Dog,"Innovative, work-driven computer scientist with 6 years of","Calculus, Communication Skills, Deep Learning, C, C++, Machine Learning, Computer Science",designing algorithmically optimized machine learning and a data-driven process for detecting and organizing web-based information.,"Springfield University
Bachelor's Degree in Computer Science • Los Angeles, California","Unspecified Dog
North Granby, CT
example@email.com
(555)123-4567
Summary
Innovative, work-driven computer scientist with 6 years of experience designing algorithmically optimized machine learning and a data-driven process for detecting and organizing web-based information.
Education
Springfield University
Bachelor's Degree in Computer Science • Los Angeles, California
Skills
Calculus, Communication Skills, Deep Learning, C, C++, Machine Learning, Computer Science
Experience
New way Tech
January 2020 - Present
Computer Scientist • Los Angeles, California
Researched & implemented complex algorithms for analysis of web traffic to detect and prevent attack vectors
Created an automated system in Python which utilized data from thousands of internal and external sources, effectively building a large graph database
Designed a new data-center infrastructure to support peak traffic loads and reduce the number of machines required
Delivered a 10% reduction in overall time to solution
Recruited a team of 3 new employees and trained them in Linux administration, by developing an automated system to install and maintain Linux servers
Turing
February 2018
computer scientist • Los Angeles, California
Developed quantitative models that improved the understanding of advanced algorithm design techniques and algorithms
Designed a parallelized search engine for searching large amounts of data efficiently, improving speed of a site by 25%
Designed and implemented a data pipeline to convert data from multiple sources into a single system, improving our data integration by 25%
Implemented a complex system of automated web scraping and data analysis tools to collect unstructured text data from more than 80 million web pages
Designed and implemented a real-time analytics and visualizations dashboard for the CTO to track key metrics and projects.
Transitioned from a position in software engineering to a position in information technology
Warguay
February 2016
Computer Scientist • Los Angeles, California
Designed and implemented a custom database management system for the company, saving $20k per month in IT costs
Created a statistical tool to analyze all relevant data in real-time with data destruction capabilities
Created a new client order portal to streamline customer service and order management
Maintained a collaborative development environment, allowing new developers to easily work on the same code base as their peers
Created a new web app to track user logins and logouts across all company-owned websites, and implemented a mechanism to prevent unauthorized access
Created a video call feature for internal meetings, increasing collaboration and productivity
Created a new internal tool to measure employee productivity, allowing for more accurate performance reviews and promotions"
resume_10,resume.com,,Unnamed Tiger,Professional and highly trained engineer with 5 years of,"Azure, Communication Skills, Microsoft Office, Linux, Agile, C++, Apis","in creating engineering solutions to complex manufacturing problems. With senior engineering roles, led single-source development teams and implemented lean principles and tools.","Bachelor's Degree in Engineering
Dalton University Orlando, Florida","Unnamed Tiger
example@email.com
(555)123-4567
Bowersville, OH
Summary
Professional and highly trained engineer with 5 years of experience in creating engineering solutions to complex manufacturing problems. With senior engineering roles, led single-source development teams and implemented lean principles and tools.
Education
Bachelor's Degree in Engineering
Dalton University Orlando, Florida
Skills
Azure, Communication Skills, Microsoft Office, Linux, Agile, C++, Apis
Experience
Jablito Industries
June 2019 - Present
Engineer - Orlando, Florida
Researched a new metric for tracking project performance and success, resulting in a 10% increase in projects completed
Performed installation of software and hardware in accordance with specifications
Increased the efficiency of the company's server environment by 42%
Established and maintained a database of all hardware components and software necessary for proper system operation
Maintained detailed knowledge of all project deliverables and contributed to the company's digital and print media by creating television commercials, radio spots and web content
Arrow
October 2017
Test Engineer - Orlando, Florida
Performed quality assurance and testing of applications, ensuring they meet or exceed requirements
Utilized automated test tools to reduce regression testing by 30%
Improved application performance by 20% through increased utilization of database indexes and stored procedures
Developed training materials to provide technical support to new employees on the use of the software
Provided technical support for 11 clients, increasing revenue by 20% and increasing customer satisfaction by 25%
Troubleshooted intermittent computing issues, and provided technical support for 12 clients, resulting in a 50% increase in client retention rate
Infra Tech
June 2016
Program Engineer - Orlando, Florida
Began developing a new software application by analyzing the problem, gaining a full understanding of the product and determining the best possible solution
Implemented new software development practices, such as agile product management
Facilitated software testing, integrating 20 new features into the system in 3 months
Established strong relationships with executives and the QA team, resulting in a 40% increase in new customers and a 25% increase in sales"
resume_11,resume.com,Data Analyst,Mystery Cat,Proven and highly skilled data analyst with 7 years of,"Data Analysis Skills, Communication Skills, Power Bi, Microsoft Office, Python, Analysis Skills, Tableau",analyzing and identifying statistical patterns through data interpretation.,"Dalton University
Bachelor's Degree in Computer Science • Las Vegas, Nevada","Mystery Cat
Lancaster, MO
example@email.com
(555)123-4567
Summary
Proven and highly skilled data analyst with 7 years of experience analyzing and identifying statistical patterns through data interpretation.
Education
Dalton University
Bachelor's Degree in Computer Science • Las Vegas, Nevada
Skills
Data Analysis Skills, Communication Skills, Power Bi, Microsoft Office, Python, Analysis Skills, Tableau
Experience
Next Day A/R
October 2019 - Present
Data Analyst • Las Vegas, Nevada
Identified and tracked patterns based on data usage and trends to identify areas for improvement
Created a dashboard and comparisons of two years' worth of data to identify trends and opportunities
Created a test database to test the results of an online survey which was subsequently used to further refine the questionnaire
Performed statistical analysis on the results of the online survey and presented findings to management in a professional manner
Pro Statistic
October 2017
Data Analyst • Las Vegas, Nevada
Collected and analyzed data to identify trends across pertinent industries and markets
Collaborated with management to maintain and improve accounting software to include sales, inventory and forecasts
Created an ongoing program that tracked recurring expenses in real-time to understand and ultimately decrease costs
Created a monthly report for management detailing performance against key metrics for the month
Created a new product for the company and developed a mobile app to enhance communication with customers
Designed and implemented a new website for the company
Affinity
June 2016
Customer Service Representative • Las Vegas, Nevada
Handled over 1,000 customer queries per month, averaging 8 customer interactions per day
Handled over 200 customer complaints per month and resolved all issues in an average of 3 hours
Reported to the District Manager, eliciting his feedback regarding how to improve in performance and attaining a $50,000 bonus
Handled over 800 customer requests by responding to the phone, email or in person
Unveiled a new customer satisfaction program that increased the number of customer complaints resolved by 25%"
resume_12,resume.com,Web Developer,Nameless Penguin,Able front end developer with 5 years of,"Communication Skills, Javascript, Css, Typescript, Html5, Node.Js, Apis","designing and building web-based tools, working with development frameworks like AngularJS, Bootstrap and HTML5.","Springfield University
Bachelor's Degree in Computer Science • Chicago, Illinois","Nameless Penguin
Germantown, KY
example@email.com
(555)123-4567
Summary
Able front end developer with 5 years of experience designing and building web-based tools, working with development frameworks like AngularJS, Bootstrap and HTML5.
Education
Springfield University
Bachelor's Degree in Computer Science • Chicago, Illinois
Skills
Communication Skills, Javascript, Css, Typescript, Html5, Node.Js, Apis
Experience
Cloud Code
October 2019 - Present
Front End Developer • Chicago, Illinois
Implemented new website features including conditional logic, data filters and pricing models
Improved our global search engine ranking by +200 by implementing Google’s Page Speed toolkit
Increased revenue through upsells and cross-selling
Improved customer satisfaction score by +24% (based on performance metrics)
Performed statistical analyses for reports and projects relating to potentially sensitive information loss, such as business strategies and clients
Organized and maintained data for all employees, including employee data, contact information and skills
Supervised the assistance of 3 new employees
Pixel Digit
November 2017
Front-End Web Developer • Chicago, Illinois
Developed new web and mobile applications that have been deployed across multiple platforms
Responsible for the design and maintenance of the company's website, including marketing site, promotional site, blog, sales site and customer service site
Repaired and maintained all company websites in a timely manner
Managed a team of 4 front-end developers and designers
Created new applications from scratch using HTML, CSS and JavaScript
Responsible for maintaining all company websites in a timely manner
Wiredwaves
September 2016
Front End Developer • Chicago, Illinois
Built, maintained and integrated the company's new website for a cost savings of $5,000
Was responsible for the creation of more than 5,500 lines of code, a new PHP framework, and a new front-end UI framework to create a new responsive website
Created and maintained new tools, including a new CMS, a new file management system and a new workflow system
Converted the old website from HTML to a new responsive HTML5 framework"
resume_13,resume.com,IT Support,Unspecified Bird,Hardworking IT support professional with 5 years of,"Tcp, Customer Service, Windows, Help Desk, Active Directory, Computer Networking, Software Troubleshooting","providing IT support for multiple clients, accompanied by an excellent track record of solving complex computer problems.
Experience
IT Support
Nerd Support • Los Angeles, California
August 2020 - Present
Conducted a full-scope IT audit, which identified an increase of $500k in efficiency and revenue by implementing a new web portal
Performed regular system maintenance and upgrades on the hardware and software infrastructure, resulting in a $300k increase in revenue
Utilized a web-based training and remote-access platform to train staff members on new products and processes, increasing staff efficiency by 20%
Managed a team of two IT Support Engineers, each with a specific expertise, resulting in a 20% decrease in support calls
Increased the efficiency of the customer service department by 10%, resulting in a 4% increase in revenue
Maintained a database of all hardware and software needed at any given time for staff members to assist with technical issues
IT Administrator
Big Job • Los Angeles, California
June 2019
Designed and implemented a new company-wide IT system, resulting in a 10% reduction in time spent on data entry and reporting
Developed and implemented a user-friendly, modern dashboard, which included a reporting dashboard for financial departments as well as an enterprise-wide searchable inventory database
Managed the daily IT operation for multiple departments, ensuring all equipment was working properly
Coordinated IT projects with internal IT staff, including project management, development, support and security
Maintained a knowledge base of approximately 1,000 IT-related articles, whitepapers and books, and made recommendations based on his experience and knowledge to improve IT operations for the company
Systems Administrator
NDST • Los Angeles, California
April 2018
Implemented a new server, network and data center management system
Configured and maintained a new server cluster, virtual machines and networks
Installed new firewalls and IDS systems
Designed and set up a new server for the company's metrics reporting program
Created a Windows Server Workstation Maintenance Plan to monitor and maintain the company's server infrastructure","Bachelor's Degree in Computer Science
Zirkel College • Los Angeles, California","Unspecified Bird
example@email.com
(555)123-4567
Brandamore, PA
Summary
Hardworking IT support professional with 5 years of experience providing IT support for multiple clients, accompanied by an excellent track record of solving complex computer problems.
Experience
IT Support
Nerd Support • Los Angeles, California
August 2020 - Present
Conducted a full-scope IT audit, which identified an increase of $500k in efficiency and revenue by implementing a new web portal
Performed regular system maintenance and upgrades on the hardware and software infrastructure, resulting in a $300k increase in revenue
Utilized a web-based training and remote-access platform to train staff members on new products and processes, increasing staff efficiency by 20%
Managed a team of two IT Support Engineers, each with a specific expertise, resulting in a 20% decrease in support calls
Increased the efficiency of the customer service department by 10%, resulting in a 4% increase in revenue
Maintained a database of all hardware and software needed at any given time for staff members to assist with technical issues
IT Administrator
Big Job • Los Angeles, California
June 2019
Designed and implemented a new company-wide IT system, resulting in a 10% reduction in time spent on data entry and reporting
Developed and implemented a user-friendly, modern dashboard, which included a reporting dashboard for financial departments as well as an enterprise-wide searchable inventory database
Managed the daily IT operation for multiple departments, ensuring all equipment was working properly
Coordinated IT projects with internal IT staff, including project management, development, support and security
Maintained a knowledge base of approximately 1,000 IT-related articles, whitepapers and books, and made recommendations based on his experience and knowledge to improve IT operations for the company
Systems Administrator
NDST • Los Angeles, California
April 2018
Implemented a new server, network and data center management system
Configured and maintained a new server cluster, virtual machines and networks
Installed new firewalls and IDS systems
Designed and set up a new server for the company's metrics reporting program
Created a Windows Server Workstation Maintenance Plan to monitor and maintain the company's server infrastructure
Skills
Tcp, Customer Service, Windows, Help Desk, Active Directory, Computer Networking, Software Troubleshooting
Education
Bachelor's Degree in Computer Science
Zirkel College • Los Angeles, California"
resume_14,resume.com,Data Scientist,Unknown Dog,Computer science intern with 4 years of,"Microsoft Office, Computer Science, Machine Learning, Ai, Microsoft Excel, Python, Sql","in designing and implementing web-based interactive applications. Highly proficient in Ruby on Rails.
Experience
Arc Digital | Nevada, Las Vegas
Data Science Intern | August 2020 - Present
Created new data science training materials and led the training of 2 new data scientists
Performed a data science analysis for a new technology initiative, identifying an additional 10% of potential revenue to be added in year 1
Performed an in-depth analysis of data for a new client, finding that their current data analysis was inaccurate by 15%
Performed a high-level analysis of three years of sales data, finding that a new sales channel would result in an additional $150k in revenue
Performed an analysis of email marketing data, discovering that certain audiences would increase their online revenue by 30%
Researched the usage of predictive analytics and found that certain datasets could be leveraged to improve business operations and increase revenue by 10%
Recorded customer complaints and resolved issues within 48 hours, resulting in a 45% reduction in customer complaints
Achieved a 12% net increase in revenue due to optimization of the business process and information technology department
Eless Analytics University | Nevada, Las Vegas
Data Science Intern | June 2019
Worked on a project to develop solutions for data quality issues, which resulted in a 15% reduction in the number of errors
Developed a web scraper that was responsible for 1,000 daily downloads of company data
Researched and analyzed database usage patterns to determine data accuracy and performance trends
Built a web application to track internal customer interactions
Collected and analyzed data on 3,000 customer interactions a day to gain a better understanding of customer trends
Compiled data on 45,000 customers to identify marketing opportunities and increase retention rates
Data Tech Intern | Nevada, Las Vegas
Data Science Intern | August 2017
Created a data warehouse of a client's customer base through the web scraping of personal finance websites
Took the data from these websites and joined it with other client data, resulting in a better understanding of customer behavior
Created a series of interactive graphs, including bar charts, line graphs and clustered bar charts
Created a set of data analysis tools for data visualization and manipulation
Created a presentation using a dynamic Venn Diagram to analyze an overall customer behavior pattern
Created a set of data visualization tools and a website for data analysis and visualization
Created a Bayesian Network to better understand a specific business decision
Created a data visualization tool for mining data, including a user interface that shows one's progress and the details of each node of the network
Designed a set of tools for summarizing and visualizing client data","Springfield University | Las Vegas, Nevada
Bachelor's Degree in Computer Science","Unknown Dog
Manchester, NH | (555)123-4567
example@email.com
Summary
Computer science intern with 4 years of experience in designing and implementing web-based interactive applications. Highly proficient in Ruby on Rails.
Experience
Arc Digital | Nevada, Las Vegas
Data Science Intern | August 2020 - Present
Created new data science training materials and led the training of 2 new data scientists
Performed a data science analysis for a new technology initiative, identifying an additional 10% of potential revenue to be added in year 1
Performed an in-depth analysis of data for a new client, finding that their current data analysis was inaccurate by 15%
Performed a high-level analysis of three years of sales data, finding that a new sales channel would result in an additional $150k in revenue
Performed an analysis of email marketing data, discovering that certain audiences would increase their online revenue by 30%
Researched the usage of predictive analytics and found that certain datasets could be leveraged to improve business operations and increase revenue by 10%
Recorded customer complaints and resolved issues within 48 hours, resulting in a 45% reduction in customer complaints
Achieved a 12% net increase in revenue due to optimization of the business process and information technology department
Eless Analytics University | Nevada, Las Vegas
Data Science Intern | June 2019
Worked on a project to develop solutions for data quality issues, which resulted in a 15% reduction in the number of errors
Developed a web scraper that was responsible for 1,000 daily downloads of company data
Researched and analyzed database usage patterns to determine data accuracy and performance trends
Built a web application to track internal customer interactions
Collected and analyzed data on 3,000 customer interactions a day to gain a better understanding of customer trends
Compiled data on 45,000 customers to identify marketing opportunities and increase retention rates
Data Tech Intern | Nevada, Las Vegas
Data Science Intern | August 2017
Created a data warehouse of a client's customer base through the web scraping of personal finance websites
Took the data from these websites and joined it with other client data, resulting in a better understanding of customer behavior
Created a series of interactive graphs, including bar charts, line graphs and clustered bar charts
Created a set of data analysis tools for data visualization and manipulation
Created a presentation using a dynamic Venn Diagram to analyze an overall customer behavior pattern
Created a set of data visualization tools and a website for data analysis and visualization
Created a Bayesian Network to better understand a specific business decision
Created a data visualization tool for mining data, including a user interface that shows one's progress and the details of each node of the network
Designed a set of tools for summarizing and visualizing client data
Skills
Microsoft Office, Computer Science, Machine Learning, Ai, Microsoft Excel, Python, Sql
Education
Springfield University | Las Vegas, Nevada
Bachelor's Degree in Computer Science"
resume_15,resume.com,Data Scientist,Incognito Giraffe,Passionate data scientist with 6 years of,"Regression Analysis, Machine Learning, Spark, Sas, Python, Aws, Ai",in different areas of data mining and statistical analysis. Fully qualified for applying machine learning techniques to real-world problems.,"Zirkel College
Master's Degree in Computer Science • Los Angeles, California","Incognito Giraffe
Casa Blanca, NM
example@email.com
(555)123-4567
Summary
Passionate data scientist with 6 years of experience in different areas of data mining and statistical analysis. Fully qualified for applying machine learning techniques to real-world problems.
Education
Zirkel College
Master's Degree in Computer Science • Los Angeles, California
Skills
Regression Analysis, Machine Learning, Spark, Sas, Python, Aws, Ai
Experience
Expert Computer Services
April 2019 - Present
Data Scientist • Los Angeles, California
Identified, designed and implemented a web scraping, data extraction and reporting service for the company that saved the company $100k annually
Translated multiple languages and prepared data for analysis in Excel spreadsheets, with the assistance of 7 translators and 6 support staff
Created a database of all published research, papers and presentations, increasing research output by 20%
Collaborated with the lead researcher in a collaborative research project involving data science, applied mathematics and machine learning
Helped the company implement new data mining techniques such as Bayesian network inference and neural network classification, resulting in a 30% increase in classification accuracy
Developed an automated survey program for gaining feedback from customers, which resulted in a 10% increase in customer feedback volume.
I
May 2017
Data Scientist • Los Angeles, California
Developed algorithms using machine learning and data mining techniques for data analysis and reporting
Created self-service tools for data analysis and reporting
Utilized text analysis, frequency analysis and sentiment analysis to produce reports with 66% accuracy
Created a web application that reports on the current state of the IT infrastructure, allowing for easier maintenance and improvement of the system
Created a business intelligence system for the company's performance and growth
Worked with 3 other team members to create a data visualization tool for internal use
East-West Digital Data
November 2015
Data Scientist • Los Angeles, California
Performed data analysis for studies related to sports, traffic and customer activation
Created infrastructure for data analysis, creating a new system to track daily metrics to analyze the effectiveness of sales channel strategies
Created a process to track marketing campaigns and generate reports, increasing the effectiveness of marketing campaigns by 6% within a month
Created a statistical model to predict brand performance based on consumer behavior
Created a tool to identify new sales opportunities and measure the impact on sales, increasing revenue by $100k
Performed data analysis for a customer retention study, identifying 14% in-store customer satisfaction from a sample of 120 customers
Created a website to track daily sales metrics, determining weekly sales by category and generating reports on weekly sales"
resume_16,resume.com,,Nameless Wolf,Leader with,"C, Autocad, Microsoft Office, Linux, Communication Skills, Microsoft Word, Microsoft Excel","in delivering robust and reliable software applications and systems for customer-facing departments in various industries. Strong experience in the use of C++, Java, MongoDB/Hive and Python; demonstrated leadership abilities utilizing the model-view controller architecture. Expertise in developing workable solutions to technical challenges by leveraging data analytics and visualization tools including Matlab, SQL and Tableau.
Experience
Next Gen Technology | Nevada, Las Vegas
Entry Level Engineer | February 2020 - Present
Developed an interactive employee engagement tool for employee screening and employee recruitment purposes
Assisted in the implementation of a new company-wide application platform, resulting in a 30% reduction in the number of bugs reported
Maintained a database of best practices for new software development projects, which helped increase the efficiency of the company by 50%
Created an interactive training program designed to teach employees how to install and maintain complex hardware and software solutions
Collaborated with sales and IT staff to implement systems to track and manage production costs
Worked closely with the CTO to develop a new API framework and soft-skill training program for increased collaboration between engineers and product managers
Big Tech Solutions | Nevada, Las Vegas
Entry Level Engineer | June 2018
Created a new project focusing on embedded device security
Designed a custom program to help automate and manage the security process
Developed a new product that would help automate data security
Created a security document for new team members
Sandwich | Nevada, Las Vegas
Entry Level Engineer | July 2016
Participated in the creation of a prototype application to increase sales by 2000%
Designed, built and deployed a prototype product that increased sales by 200% and improved customer retention rates by 8%
Performed data vulnerability assessments and helped remediate, analyze reports on system vulnerabilities
Researched and implemented Unix and Linux command line tools for system administration
Created a command line interface for a customer's HTTP APIs","Zirkel College | Las Vegas, Nevada
Bachelor's Degree in Engineering","Nameless Wolf
Washington, DC | (555)123-4567
example@email.com
Summary
Leader with experience in delivering robust and reliable software applications and systems for customer-facing departments in various industries. Strong experience in the use of C++, Java, MongoDB/Hive and Python; demonstrated leadership abilities utilizing the model-view controller architecture. Expertise in developing workable solutions to technical challenges by leveraging data analytics and visualization tools including Matlab, SQL and Tableau.
Experience
Next Gen Technology | Nevada, Las Vegas
Entry Level Engineer | February 2020 - Present
Developed an interactive employee engagement tool for employee screening and employee recruitment purposes
Assisted in the implementation of a new company-wide application platform, resulting in a 30% reduction in the number of bugs reported
Maintained a database of best practices for new software development projects, which helped increase the efficiency of the company by 50%
Created an interactive training program designed to teach employees how to install and maintain complex hardware and software solutions
Collaborated with sales and IT staff to implement systems to track and manage production costs
Worked closely with the CTO to develop a new API framework and soft-skill training program for increased collaboration between engineers and product managers
Big Tech Solutions | Nevada, Las Vegas
Entry Level Engineer | June 2018
Created a new project focusing on embedded device security
Designed a custom program to help automate and manage the security process
Developed a new product that would help automate data security
Created a security document for new team members
Sandwich | Nevada, Las Vegas
Entry Level Engineer | July 2016
Participated in the creation of a prototype application to increase sales by 2000%
Designed, built and deployed a prototype product that increased sales by 200% and improved customer retention rates by 8%
Performed data vulnerability assessments and helped remediate, analyze reports on system vulnerabilities
Researched and implemented Unix and Linux command line tools for system administration
Created a command line interface for a customer's HTTP APIs
Skills
C, Autocad, Microsoft Office, Linux, Communication Skills, Microsoft Word, Microsoft Excel
Education
Zirkel College | Las Vegas, Nevada
Bachelor's Degree in Engineering"
resume_17,resume.com,Web Developer,Nameless Wolf,"Fast-paced, creative web developer with 6 years of","Communication Skills, Git, Sql, Css, Javascript, Jquery, Html5","with extensive knowledge of HTML, CSS, JavaScript, XHTML, JQuery, PHP and other web programming languages. Strong proficiency in visual design and user interface design.
Experience
Zomby Wolf | Los Angeles, California
Web Developer | January 2019 - Present
Developed and maintained a development platform for managing online stores, with a custom in-house CMS, marketing automation, analytics and social media
Implemented a DevOps methodology for continuous deployment, allowing for multiple developers and business teams to collaborate and release changes simultaneously
Ran project meetings and assigned tasks to specialized teams and project managers to ensure smooth communication and execution
Created a customer relationship management system for tracking email and web-based sales leads
Created a website for the company that included a custom domain, video, product imagery and integrated email marketing
Implemented online surveys to collect customer feedback and track satisfaction, which resulted in a 35% increase in online sales
Created a system for tracking customer orders from receipt to delivery
Designed and compiled data for monthly reports that prioritize and track progress on initiatives, such as website performance, digital marketing and social media
What Does the Wind Blow | Los Angeles, California
Web Developer | September 2017
Built a new website that focused on improving customer satisfaction, increasing user engagement and maximizing customer retention
Designed a new system of internal and external reports for senior management, including key metrics and analytics
Improved functionality and usability of a video chat system by implementing new features, such as video recording, audio calling and video conferencing
Implemented a full audit of all back-end systems and developed a plan for remediation
Developed an application to allow the company to accept and complete credit card payments online
Busy Bee | Los Angeles, California
Web Developer | January 2016
Maintained custom websites for 12 different clients
Designed and developed a new website for a client
Helped improve the speed of search engine optimization and designed an interactive landing page for client
Created a new website for a client
Helped build a social media program for client
Designed and built a new website for a client","Krebs Mountain College | Los Angeles, California
Bachelor's Degree in Computer Science","Nameless Wolf
(555)123-4567 | example@email.com | West Brooklyn, IL
Summary
Fast-paced, creative web developer with 6 years of experience with extensive knowledge of HTML, CSS, JavaScript, XHTML, JQuery, PHP and other web programming languages. Strong proficiency in visual design and user interface design.
Experience
Zomby Wolf | Los Angeles, California
Web Developer | January 2019 - Present
Developed and maintained a development platform for managing online stores, with a custom in-house CMS, marketing automation, analytics and social media
Implemented a DevOps methodology for continuous deployment, allowing for multiple developers and business teams to collaborate and release changes simultaneously
Ran project meetings and assigned tasks to specialized teams and project managers to ensure smooth communication and execution
Created a customer relationship management system for tracking email and web-based sales leads
Created a website for the company that included a custom domain, video, product imagery and integrated email marketing
Implemented online surveys to collect customer feedback and track satisfaction, which resulted in a 35% increase in online sales
Created a system for tracking customer orders from receipt to delivery
Designed and compiled data for monthly reports that prioritize and track progress on initiatives, such as website performance, digital marketing and social media
What Does the Wind Blow | Los Angeles, California
Web Developer | September 2017
Built a new website that focused on improving customer satisfaction, increasing user engagement and maximizing customer retention
Designed a new system of internal and external reports for senior management, including key metrics and analytics
Improved functionality and usability of a video chat system by implementing new features, such as video recording, audio calling and video conferencing
Implemented a full audit of all back-end systems and developed a plan for remediation
Developed an application to allow the company to accept and complete credit card payments online
Busy Bee | Los Angeles, California
Web Developer | January 2016
Maintained custom websites for 12 different clients
Designed and developed a new website for a client
Helped improve the speed of search engine optimization and designed an interactive landing page for client
Created a new website for a client
Helped build a social media program for client
Designed and built a new website for a client
Skills
Communication Skills, Git, Sql, Css, Javascript, Jquery, Html5
Education
Krebs Mountain College | Los Angeles, California
Bachelor's Degree in Computer Science"
resume_2,resume.com,Java Developer,Anonymous Bird,Hardworking java developer with 4 years of,"Oracle, Communication Skills, Angular, Hibernate, Aws, Apis, J2Ee","in creating efficient applications and building high-performance systems, accompanied by a proven track record of customer support.
Experience
Google
Java Developer, Chicago, Illinois
June 2020 - Present
Produced custom applications, frameworks and components to solve unique business problems
Designed new features for existing applications and implemented them into production
Determined the best programming languages and tools to use for future projects and provided recommendations for tool selection
Created a software development process and team workflow to ensure future development projects are built in a repeatable, efficient and reliable fashion
Spark Tech
Sr Java/J2Ee Developer, Chicago, Illinois
March 2019
Optimized the development of new web applications to reduce development time by 30%
Increased the number of active users on the website by 60% and increased page views to 1.5 million page views per month
Created an inventory management system that reduced the time to capture data by 80% and reduced the number of errors by 40%
Managed developers to ensure they were delivering new features on time and with high quality
Assisted a team of 2 developers in the development of a mobile application for the company's website
Supported the development of a series of new web applications for the company's business unit
Implemented a new process for the development of a new web application
IT Experts
Sr. Java Developer, Chicago, Illinois
March 2017
Extracted and analyzed data sets from the previous year's analytics reports
Designed a new data model and database schema to meet the needs of the business, optimizing the company's processes and cost structure
Developed a survey among customers to better understand their requirements and improve their digital experience
Identified opportunities for new products and services by assessing industry trends, competitor analysis and customer feedback","Bachelor's Degree in Computer Science
Lourdes Western University, Chicago, Illinois","Anonymous Bird
(555)123-4567
example@email.com
Ridgefield, WA
Summary
Hardworking java developer with 4 years of experience in creating efficient applications and building high-performance systems, accompanied by a proven track record of customer support.
Experience
Google
Java Developer, Chicago, Illinois
June 2020 - Present
Produced custom applications, frameworks and components to solve unique business problems
Designed new features for existing applications and implemented them into production
Determined the best programming languages and tools to use for future projects and provided recommendations for tool selection
Created a software development process and team workflow to ensure future development projects are built in a repeatable, efficient and reliable fashion
Spark Tech
Sr Java/J2Ee Developer, Chicago, Illinois
March 2019
Optimized the development of new web applications to reduce development time by 30%
Increased the number of active users on the website by 60% and increased page views to 1.5 million page views per month
Created an inventory management system that reduced the time to capture data by 80% and reduced the number of errors by 40%
Managed developers to ensure they were delivering new features on time and with high quality
Assisted a team of 2 developers in the development of a mobile application for the company's website
Supported the development of a series of new web applications for the company's business unit
Implemented a new process for the development of a new web application
IT Experts
Sr. Java Developer, Chicago, Illinois
March 2017
Extracted and analyzed data sets from the previous year's analytics reports
Designed a new data model and database schema to meet the needs of the business, optimizing the company's processes and cost structure
Developed a survey among customers to better understand their requirements and improve their digital experience
Identified opportunities for new products and services by assessing industry trends, competitor analysis and customer feedback
Skills
Oracle, Communication Skills, Angular, Hibernate, Aws, Apis, J2Ee
Education
Bachelor's Degree in Computer Science
Lourdes Western University, Chicago, Illinois"
